iter	Passed	Remaining
646	3463	1889
647	3469	1884
648	3476	1880
649	3483	1875
650	3490	1871
651	3495	1865
652	3500	1860
653	3507	1855
654	3512	1849
655	3518	1844
656	3524	1839
657	3530	1834
658	3535	1829
659	3539	1823
660	3545	1818
661	3550	1812
662	3554	1806
663	3562	1802
664	3568	1797
665	3572	1791
666	3577	1785
667	3583	1780
668	3587	1775
669	3594	1770
670	3601	1765
671	3605	1759
672	3609	1753
673	3614	1748
674	3618	1742
675	3625	1737
676	3629	1731
677	3636	1727
678	3642	1721
679	3648	1717
680	3652	1710
681	3658	1705
682	3665	1701
683	3669	1695
684	3675	1690
685	3681	1685
686	3685	1679
687	3692	1674
688	3698	1669
689	3705	1664
690	3709	1658
691	3715	1653
692	3721	1648
693	3725	1642
694	3730	1637
695	3736	1632
696	3740	1625
697	3746	1621
698	3751	1615
699	3756	1609
700	3762	1604
701	3766	1598
702	3772	1593
703	3779	1589
704	3785	1584
705	3789	1578
706	3794	1572
707	3799	1566
708	3804	1561
709	3810	1556
710	3815	1551
711	3821	1545
712	3827	1540
713	3833	1535
714	3837	1529
715	3843	1524
716	3850	1519
717	3854	1513
718	3859	1508
719	3865	1503
720	3869	1497
721	3874	1491
722	3878	1485
723	3884	1480
724	3890	1475
725	3896	1470
726	3900	1464
727	3906	1459
728	3912	1454
729	3917	1448
730	3923	1443
731	3929	1438
732	3933	1432
733	3939	1427
734	3942	1421
735	3947	1416
736	3954	1411
737	3958	1405
738	3963	1399
739	3969	1394
740	3972	1388
741	3978	1383
742	3982	1377
743	3989	1372
744	3995	1367
745	4000	1362
746	4005	1356
747	4011	1351
748	4015	1345
749	4025	1341
750	4029	1335
751	4035	1330
752	4039	1324
753	4044	1319
754	4051	1314
755	4055	1308
756	4060	1303
757	4068	1298
758	4073	1293
759	4078	1287
760	4083	1282
761	4089	1277
762	4092	1271
763	4099	1266
764	4103	1260
765	4108	1255
766	4114	1249
767	4118	1244
768	4124	1238
769	4131	1233
770	4135	1228
771	4140	1222
772	4147	1217
773	4150	1211
774	4156	1206
775	4164	1202
776	4171	1197
777	4177	1191
778	4181	1186
779	4188	1181
780	4192	1175
781	4198	1170
782	4204	1165
783	4208	1159
784	4213	1153
785	4218	1148
786	4222	1142
787	4228	1137
788	4235	1132
789	4239	1127
790	4245	1121
791	4251	1116
792	4256	1111
793	4260	1105
794	4266	1100
795	4272	1094
796	4277	1089
797	4282	1084
798	4289	1079
799	4293	1073
800	4298	1067
801	4303	1062
802	4308	1056
803	4314	1051
804	4320	1046
805	4324	1040
806	4329	1035
807	4335	1030
808	4340	1024
809	4346	1019
810	4353	1014
811	4358	1009
812	4363	1003
813	4368	998
814	4371	992
815	4377	987
816	4380	981
817	4385	975
818	4389	970
819	4394	964
820	4399	959
821	4404	953
822	4408	948
823	4411	942
824	4417	937
825	4424	931
826	4427	926
827	4434	921
828	4441	916
829	4445	910
830	4451	905
831	4458	900
832	4462	894
833	4468	889
834	4474	884
835	4479	878
836	4484	873
837	4490	868
838	4494	862
839	4499	857
840	4505	851
841	4508	846
842	4514	840
843	4520	835
844	4524	829
845	4530	824
846	4536	819
847	4540	813
848	4547	808
849	4553	803
850	4557	798
851	4563	792
852	4570	787
853	4576	782
854	4579	776
855	4586	771
856	4593	766
857	4597	760
858	4602	755
859	4610	750
860	4613	744
861	4619	739
862	4625	734
863	4629	728
864	4635	723
865	4641	718
866	4645	712
